protid	StruCluster
A0A0A2EQS7	SC00
A0A0A2DY55	SC00
A0A0B7IIH5	SC00
A0A0L1L6T7	SC00
A0A0P0GVU6	SC00
A0A137SVN0	SC00
A0A139KQL5	SC00
A0A1E5B3I7	SC00
A0A1F1DYD0	SC00
A0A1I4WIP4	SC00
A0A1T4M671	SC00
A0A1V6EMW9	SC00
A0A1Z4BP92	SC00
A0A250FN98	SC00
A0A2A3N326	SC00
A0A2N7JZ51	SC00
A0A2S0L817	SC00
A0A348Y3Z0	SC00
A0A376GA91	SC00
A0A3L9M5G5	SC00
A0A3R8TSA4	SC00
A0A412I2D3	SC00
A0A412Y3W3	SC00
A0A4Z1BD48	SC00
A0A558GPE5	SC00
A0A558HYG2	SC00
A0A5P2GG10	SC00
A0A6G1V529	SC00
A0A6M1NM17	SC00
A0A7H1JS17	SC00
A0A7H9DVA6	SC00
A0A7V2Y6X0	SC00
A0A7V6V3D4	SC00
A0A7X8EFY8	SC00
A0A7Z1MKC1	SC00
C2MDZ6	SC00
F0P128	SC00
I9EX98	SC00
K2P1U9	SC00
L1PCW6	SC00
R7JFM3	SC00
A0A0A7LAG4	SC01
A0A098S4I1	SC01
A0A0J5QK33	SC01
A0A0P0A8S3	SC01
A0A0R2ARD2	SC01
A0A0X8V1C6	SC01
A0A127F028	SC01
A0A162ENX1	SC01
A0A165XNP1	SC01
A0A175RTE5	SC01
A0A1G1IV78	SC01
A0A1G1JMJ1	SC01
A0A1G5TE69	SC01
A0A1G6RP17	SC01
A0A1G6WTP1	SC01
A0A1H1RF05	SC01
A0A1H1UT07	SC01
A0A1L9QFQ2	SC01
A0A1M3GQ22	SC01
A0A1M3MIG5	SC01
A0A1M7CK77	SC01
A0A1T5AC50	SC01
A0A1V5SAR5	SC01
A0A1W6NF36	SC01
A0A1Y5SJI1	SC01
A0A1Y6KJX5	SC01
A0A1Z8V4D7	SC01
A0A212JPP0	SC01
A0A222FDP0	SC01
A0A2A4LHJ5	SC01
A0A2A4NNG9	SC01
A0A2A4XXV0	SC01
A0A2D7AJ58	SC01
A0A2E3YGT2	SC01
A0A2E8H9I0	SC01
A0A2E9MDK8	SC01
A0A2I0YTE3	SC01
A0A2I9CV51	SC01
A0A2M9A5Z5	SC01
A0A2R3JYG6	SC01
A0A2S1T5Z3	SC01
A0A2S3U270	SC01
A0A2S9VX70	SC01
A0A2T7HJH5	SC01
A0A327KLC1	SC01
A0A348G138	SC01
A0A354LRB1	SC01
A0A355UWD4	SC01
A0A370AEI9	SC01
A0A3B9BPJ4	SC01
A0A3C1ENS1	SC01
A0A3D2Z8A7	SC01
A0A3D5FTC2	SC01
A0A419X378	SC01
A0A431PR90	SC01
A0A483CYZ3	SC01
A0A4Q5SMV9	SC01
A0A4R6G4R2	SC01
A0A4Y9ILG2	SC01
A0A562THU8	SC01
A0A5B0DWT4	SC01
A0A5B7XY59	SC01
A0A5B8VTT1	SC01
A0A5B9CWN3	SC01
A0A5C4THI5	SC01
A0A5D0VXB4	SC01
A0A5E8H483	SC01
A0A5J5IJS7	SC01
A0A5P9D2V9	SC01
A0A646HQY9	SC01
A0A6A7UNZ0	SC01
A0A6A7VLU9	SC01
A0A6B1F742	SC01
A0A6I2U197	SC01
A0A6N7ZSW5	SC01
A0A6P1YRA0	SC01
A0A7J3JC66	SC01
A0A7K0ASZ9	SC01
A0A7K1M0J0	SC01
A0A7W0XJE9	SC01
A0A7W9FJF3	SC01
A0A7X3YYJ7	SC01
A0A7X4E4R1	SC01
