protid	UMAP1	UMAP2
A0A009G216	-18.441349	1.6380306
A0A009GDQ6	-17.76568	-0.16164505
A0A009HJR7	-18.235203	1.4079894
A0A009HL91	-17.326437	-0.026761288
A0A009HRB2	-16.93805	0.1259884
A0A009NCA9	-17.215714	-0.06456793
A0A009QDD5	-18.324955	1.7017745
A0A009QHE6	-18.335226	0.22058715
A0A009RMH2	-18.242903	0.28776506
A0A009SCX3	-17.016193	1.5903884
A0A009SEQ8	-18.244616	-0.02510853
A0A009YG56	-17.849905	0.534507
A0A009YT68	-18.25309	1.5268375
A0A010IZF3	-18.211246	0.2529051
A0A010PTD8	-2.505023	13.7585745
A0A010RSH5	0.1172748	22.026665
A0A010ZGU5	2.3625946	9.204724
A0A011N461	6.555381	11.076896
A0A011PU73	5.862471	10.706523
A0A011PU89	5.951973	10.73529
A0A011QT80	5.7824655	10.70488
A0A011RMD5	-0.04352651	-3.6994305
A0A011SMB3	-10.404276	7.127739
A0A011UA30	11.21869	3.9208434
A0A011V4G0	-1.8845519	5.067304
A0A013RZ16	-17.43155	-0.0061637447
A0A013TPT6	-16.514387	0.2011636
A0A014B4I0	-18.231602	0.16955374
A0A014B889	-18.260237	1.6785139
A0A014BJU6	-18.301435	1.574361
A0A014BMK3	-18.341703	1.6039233
A0A014BVI8	-16.619482	0.036673963
A0A014CG45	-18.330149	0.19015267
A0A014CMB8	-18.267143	1.6637691
A0A014CYJ3	-18.234535	0.1448555
A0A014D1V1	-16.138983	0.5116733
A0A014DCG6	-16.317812	0.26977965
A0A014DE40	-18.370785	1.6617053
A0A014DNG7	-17.276678	-0.1738007
A0A014DWY7	-18.377905	1.5497926
A0A014EVJ3	-18.12984	1.6698699
A0A014F481	-17.454512	0.030746425
A0A014FN61	-18.197483	1.3412044
A0A014L3K4	-11.67787	-3.962928
A0A014M9S8	-7.3770094	-7.5943937
A0A014P0A0	-0.3513611	16.681278
A0A015MQ07	3.8964465	15.04775
A0A015RZ73	8.218608	5.964012
A0A015S4N4	2.0314715	10.659902
A0A015SNZ7	1.9552469	10.594218
A0A015U0F5	2.076546	10.540128
A0A015UGK8	-5.880722	13.396358
A0A015V1J5	-5.9207053	13.434441
A0A015W7S2	-5.8927135	13.406153
A0A015WH57	2.0616791	10.564562
A0A015WZ99	-5.907044	13.40439
A0A015YHS4	-5.900701	13.411642
A0A015YK67	2.001316	10.609644
A0A015YZU4	2.0170784	10.597416
A0A015ZF59	-5.868901	13.398111
A0A015ZII5	2.0834877	10.564265
A0A016BSU5	8.215984	5.970367
A0A016E6Y7	2.1578834	10.616867
A0A016EHQ9	-5.895273	13.38112
A0A016FKJ1	2.0481741	10.598713
A0A016QPG9	6.302241	4.213073
A0A016XKU8	7.7842216	2.7080584
A0A017H9N9	8.747851	-2.1047018
A0A017N2L2	8.326351	5.983763
A0A017N8B3	2.091148	10.526421
A0A021VT93	2.3636537	2.51391
A0A021X6H1	17.263294	3.8311875
A0A022FPN2	-0.3347946	17.099222
A0A022GG14	7.1553884	11.458704
A0A022J810	-18.027275	0.12245321
A0A022LFR7	-10.66035	6.5068183
A0A022LI74	3.2938795	12.272118
A0A022LWD8	-5.9103107	2.2006242
A0A022MAS1	-13.316828	-2.8351347
A0A023C0U1	8.297011	2.899952
A0A023CVZ4	1.9224979	7.7818804
A0A023D4P5	1.5401367	11.420322
A0A023PA34	-1.6481838	-0.9551581
A0A023PGY8	-13.904442	4.1495533
A0A023WW27	3.579212	23.345676
A0A023X0M5	-3.1627176	10.439654
A0A023XGB1	16.365004	5.949118
A0A023Y6P4	13.702944	-1.4419351
A0A024BUQ1	1.711904	-12.94909
A0A024C7G1	3.3522785	-11.129858
A0A024EDW5	1.1329057	22.51787
A0A024FKZ5	-7.7419996	12.270904
A0A024H059	-6.5155873	-2.587438
A0A024HB21	2.2884583	22.8763
A0A024JVE6	-8.749732	5.4431663
A0A024LS34	16.257145	5.9400487
A0A024YL64	-11.262423	-6.124418
A0A031FNR3	-10.468883	6.549406
A0A031GCK5	2.3374472	22.678713
A0A031GMB8	9.312445	12.322348
A0A031HJ46	7.967368	-6.4304886
A0A031ILL9	4.275684	14.768844
A0A031IQU7	8.291141	13.407538
A0A031J9G7	1.6036693	24.034307
A0A031JWV7	9.47311	-0.44746825
A0A031LTD4	-17.41718	-0.0155260805
A0A031LTG5	-16.874744	1.9312919
A0A034SZU1	-10.969054	9.506625
A0A037ZJA8	14.033862	6.7639546
A0A049DL26	-5.4938684	-1.0219601
A0A051U6H0	11.547771	11.345575
A0A058ZLG9	14.454511	8.426614
A0A059DNI0	11.06626	3.009282
A0A059E0E9	11.083855	3.0253832
A0A059E886	10.988269	3.2648792
A0A059FAS2	11.051055	3.0234258
A0A059FB52	10.939796	3.1217246
A0A059FUF6	11.095508	3.0159414
A0A059G7W6	11.082314	3.0570207
A0A059KS02	-2.3446884	9.846679
A0A059KWY0	0.17041165	22.078651
A0A059V3K9	1.2847654	19.819023
