accession	alntmscore	Organism	Taxonomic.lineage
A0A369XMZ4	1	Candidatus Accumulibacter phosphatis	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A011PU89	0.9956	Candidatus Accumulibacter appositus	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A011PU73	0.9972	Accumulibacter regalis	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3D6DVI9	0.9932	Candidatus Accumulibacter sp	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A084Y6C5	0.9967	Candidatus Accumulibacter phosphatis	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A080MDA4	0.9808	Candidatus Accumulibacter cognatus	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7D5S7F9	0.9804	Candidatus Accumulibacter sp	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5S4FC80	0.9791	Candidatus Accumulibacter phosphatis	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A533QMC6	0.9897	Candidatus Accumulibacter sp	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3D5EXG2	0.9955	Candidatus Accumulibacter sp	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A351BGQ6	0.9942	Candidatus Accumulibacter sp	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A011N461	0.9945	Candidatus Accumulibacter adjunctus	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1A8XYG3	0.9752	Candidatus Accumulibacter aalborgensis	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
C7RQP9	0.9853	Accumulibacter regalis	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Q3VW29	0.9814	Candidatus Accumulibacter sp. 66-26	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A840GDM4	0.9845	Rhodocyclus tenuis (Rhodospirillum tenue)	Rhodocyclus (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6L5JT34	0.9898	Rhodocyclus tenuis (Rhodospirillum tenue)	Rhodocyclus (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1A8XRW0	0.9918	Candidatus Propionivibrio aalborgensis	Propionivibrio (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G8LT95	0.9929	Propionivibrio dicarboxylicus	Propionivibrio (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C7K5X1	0.9797	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
G8QFP0	0.9957	Azospira oryzae (strain ATCC BAA-33 / DSM 13638 / PS) (Dechlorosoma suillum)	Azospira oryzae (species), Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3B7A437	0.9899	Dechloromonas sp. HYN0024	unclassified Dechloromonas (no rank), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C1E9K9	0.9894	Oryzomicrobium terrae	Oryzomicrobium (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2R5EGJ8	0.9917	Azospira sp. I13	unclassified Azospira (no rank), Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5H2Y3C5	0.9964	Azospira sp. I09	unclassified Azospira (no rank), Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2V0Z9	0.9915	Betaproteobacteria bacterium HGW-Betaproteobacteria-12	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q47C77	0.987	Dechloromonas aromatica (strain RCB)	Dechloromonas aromatica (species), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A833LU91	0.9916	Dechloromonas sp	unclassified Dechloromonas (no rank), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A533SYY8	0.9963	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1R1I791	0.9909	Azonexus hydrophilus	Azonexus (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3L6LUQ7	0.9907	Rhodocyclales bacterium GT-UBC	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2QV09	0.9916	Betaproteobacteria bacterium HGW-Betaproteobacteria-7	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A524BE95	0.9907	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A133XE01	0.991	Dechloromonas denitrificans	Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C7ZXV9	0.9896	Dechloromonas sp	unclassified Dechloromonas (no rank), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2VBM5	0.9891	Betaproteobacteria bacterium HGW-Betaproteobacteria-10	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A495WJZ8	0.9888	Azonexus fungiphilus	Azonexus (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7C6PIM3	0.9889	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7R6TNI6	0.9917	Fluviibacter phosphoraccumulans	Fluviibacter (genus), Fluviibacteraceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1V5QTK4	0.9847	Betaproteobacteria bacterium ADurb.Bin341	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4S4B0V6	0.9863	Pseudothauera nasutitermitis	Pseudothauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2TWQ7	0.9878	Betaproteobacteria bacterium HGW-Betaproteobacteria-14	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2T4IJQ6	0.9899	Pseudothauera lacus	Pseudothauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1V5FD42	0.9881	Alphaproteobacteria bacterium ADurb.BinA305	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
C4ZK27	0.9866	Thauera sp. (strain MZ1T)	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
N6Y1H6	0.9873	Thauera aminoaromatica S2	Thauera aminoaromatica (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6L4B972	0.9817	Zoogloea sp	unclassified Zoogloea (no rank), Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0C3IZ21	0.9855	Thauera sp. SWB20	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4Y4CMH8	0.9757	Zoogloea ramigera	Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A363SQ46	0.9777	Rhodocyclales bacterium	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A011QT80	0.9917	Candidatus Accumulibacter sp. BA-94	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2K9LAE2	0.9869	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
N6YDL5	0.9869	Thauera sp. 63	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2S0QW88	0.9813	Zoogloeaceae bacteirum Par-f-2	unclassified Zoogloeaceae (no rank), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6L4YFJ7	0.9872	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4Y6KT54	0.9877	Azoarcus sp. DD4	unclassified Azoarcus (no rank), Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G3HE67	0.9824	Rhodocyclales bacterium GWA2_65_19	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3F3GC04	0.9825	Thauera sp. 28	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A127K2T7	0.986	Thauera humireducens	Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A521HTI7	0.9778	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
N6YIJ8	0.9836	Thauera sp. 27	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A1K651	0.9875	Azoarcus sp. (strain BH72)	Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
N6YW63	0.9864	Thauera phenylacetica B4P	Thauera phenylacetica (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6C2CXQ2	0.9845	Zoogloea oleivorans	Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A848FZJ0	0.9797	Zoogloea dura	Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2W5K087	0.9763	Azospira oryzae	Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C7F1R0	0.9767	Pelomicrobium methylotrophicum	Pelomicrobium (genus), Hydrogenophilalia incertae sedis (no rank), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3S0CBE1	0.9858	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G3HP26	0.9825	Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C7KNH6	0.9822	Zoogloea sp	unclassified Zoogloea (no rank), Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4V3BNS4	0.985	Azoarcus indigens	Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A235EZU5	0.9841	Thauera propionica	Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4S4AVC9	0.9855	Pseudothauera rhizosphaerae	Pseudothauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7V7XN73	0.9853	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
